layout,demo_key,candidate_order,attempt_ordinal,attempt_kind,counts_toward_target,source_steps,raw_action_sha256,float32_label_sha256,decoded_action_sha256,first_contact_action_index,first_contact_time_seconds,first_success_action_index,first_success_time_seconds,failure_stage,accepted,artifact,model_xml,artifact_sha256,model_xml_sha256,executed_command_sequence_exact
1,demo_12,numeric_demo_index_ascending_within_layout,11,formal_candidate,True,200,1c633eb545364b5fbf21c79119c8d08a0c3ca28d8a692eef822e79ab99fe34d7,c113f596a6b4bc5911a1f97f7ca2ea9cc3ef53e77997bdd0e53e084752c2a7fa,8acaf808d4331f947394991a0d4bf0773741545fb5d7f746bb111ea3a7f0f67f,107,5.35,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_012_attempt_011.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_012_attempt_011.xml,18b569d1d076070dbf4e292d0f5ecefd63d3798bb653c7a1fffa9c1446089b13,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_14,numeric_demo_index_ascending_within_layout,12,formal_candidate,True,225,17c2bdd3241ced56a50f985acbc8d67026a67a9b048be1f59a8b6998456e1db3,4327dc83f20fb62da8e3c231282b6d33393272c359bbdf3f489a74818c20f962,52df4dac5b134d0e662736015493a475557421493f64ca1b51e65964d2d50b1d,107,5.35,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_014_attempt_012.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_014_attempt_012.xml,d6aedc55b2d030551f984950fa7d49416988bcb696743f1cc10568a2dfc062eb,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_15,numeric_demo_index_ascending_within_layout,13,formal_candidate,True,202,9a156089c85b98183fb3822302a5bcdc1918508358bb1db3702858b3c850a41e,36d03a195847f5b0754726dae7e5ef86e2e1f803f49a7b1fe283644e539b8845,34cbb7d23feac924127c4930319b9107f745898b2c6dc273d5fb8181be6a2cff,88,4.4,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_015_attempt_013.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_015_attempt_013.xml,f62f2f50108b2eaaad455941eab4ab6daf288f0668f30ee66a9ba9c1f7072402,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_16,numeric_demo_index_ascending_within_layout,14,formal_candidate,True,199,ff283919fd85ed8b9bcc0822e4a594c76710e33b167ffa3e9d8b9c51f0252bd7,71049cef262b6ac88ae5b868259d4935c451c9d468d3f9f09be1e5123750496c,51d07942e3492020bfccd70243607b3166f0437acdfe4252d229da21d69376f6,88,4.4,,,other_after_grasp_without_task_success,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_016_attempt_014.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_016_attempt_014.xml,65c552d72a615b05bd826778cae11bb320647aa4f1f496e10b1743f7b64614bc,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_17,numeric_demo_index_ascending_within_layout,15,formal_candidate,True,199,0829d2896f2724d5f86e7b3a88cab9ff5336e63dc5c85c3e2b2972a0080c40a2,e75fb92cadcff42dcb42bd16141df817923abf3ff976cb8468086519995e7e5e,be4b9ca4f8e7f6267d9a99fca3c3b2d1f952bf424ca9059e3307cc60249d6287,89,4.45,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_017_attempt_015.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_017_attempt_015.xml,b8ba89af0e32b88b6d1267510f57e774ae2b5408e0d31bd41a2523cd9df6d744,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_18,numeric_demo_index_ascending_within_layout,16,formal_candidate,True,200,af20384841744aa2497d1fa708b6aeb7c2d20c3c7e9b9b311ed4f34be696a9ce,5c6f792a1e75ffd9c2d89aac57d18cc6c029dd277eb1f5ef7f25d478cef08068,6231f3c9b94d6d7d89c0e316ea58dc1364e76156c94c37b8966c63ee789109b3,103,5.15,179,8.95,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_018_attempt_016.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_018_attempt_016.xml,74086f27ba8a324bcefe957734808c903a79ca195c067bab4e34507c18e92551,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_19,numeric_demo_index_ascending_within_layout,17,formal_candidate,True,217,20c4abf262b9ded5aa4225edcbd6ecf803b5d1c06bf4fdefc5fb7834fbfe3bfb,1f6795961f9280b1fd5aace66f9e361808e716b54432b550ae9fa1b839b4ed26,81b4946cd8eb0de0dccd5f335ebb3130ad21e9185a54fe7d1eca342c050d8f4c,88,4.4,,,other_after_grasp_without_task_success,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_019_attempt_017.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_019_attempt_017.xml,d81c2aaf137e416863e60563942a6a5b162d61f309079ede5efe23b58418b6ec,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_20,numeric_demo_index_ascending_within_layout,18,formal_candidate,True,192,fc7fd2cb002bf41dfefeb09c2656dc5376a3ea6aaea4526fa0733df98d40cde0,16c47912305843f37b11a06b84cc935504cff3cd14aac842c655e0736ff0d3ea,2e61c49a3766f8bc96111193d186ab8b9622a0c7d9f3c8b34ee6df693042c34e,88,4.4,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_020_attempt_018.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_020_attempt_018.xml,51bc170f049a7dc49fcac98f6ddf4ef87225a6ea42e40fff8e1997f95400d095,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_21,numeric_demo_index_ascending_within_layout,19,formal_candidate,True,214,4bb3b54ec6bcea03a75ad887ccfa1b0513ff91d71375c2fa12d65f77b934aa94,594ee3f5bfef5271b68eaa22ba7e8150366cda09b70a1eab1c2387dd8f4375ec,2c7f3f4aeb97e8c0b9302f9d923ed2c84a6836ec0e6941ada96dc7d392263855,103,5.15,174,8.7,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_021_attempt_019.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_021_attempt_019.xml,bacde9b824b3ece62dbd304233ea9cd62d78aa50bf2d0d633b5abc6acfef8686,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_23,numeric_demo_index_ascending_within_layout,20,formal_candidate,True,219,88585a501be7a2288d22a9c516a118cbf475e7af093cefa930b45f664e50ca8d,de20a3b6eae02d14cce8e6837ae9bfcf778475780920a172417304b0be076eaa,6d1e99db8d2a7c230073726c0ddc39f5ef53c04260bcb3342446384ab81a6535,112,5.6,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_023_attempt_020.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_023_attempt_020.xml,3859dc973ee72398b0c8c57dfce402dd94c152e3a2ac2fe74eb442d6c0014690,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_24,numeric_demo_index_ascending_within_layout,21,formal_candidate,True,203,e30b61fa7e9f557ed74653082ad3467b572c2c8f18e9fd26c2ee1cc1bcb383e4,938d5613a128ba3702f8496cb0e3022567013e658f366892eed19d0b190e09d3,e11fe394c9d3acb5d932b2f5388b9a523f479264f55395932ca4bf9837762db7,103,5.15,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_024_attempt_021.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_024_attempt_021.xml,3fdf8de3d5cd8fe9b209f2f676077496e2b690f242e9fa932f6be62c38ec93c0,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
1,demo_25,numeric_demo_index_ascending_within_layout,22,formal_candidate,True,194,c948d853a108dce98f7ddb549a807ca116161e2d3559a3b158a84735ac7b457c,b47a0588b832382b090feb9760aec0e2106fe9395739d422536cae040729beca,832c94505f56450b13dc876ce0518a85902e271fb20ab34e7b193b80c09aabea,87,4.35,169,8.45,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_025_attempt_022.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_025_attempt_022.xml,5692252e9992079acd76fde4823e195e395de80eea6460b061a697bc61bc23cd,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,True
2,demo_0,numeric_demo_index_ascending_within_layout,23,formal_candidate,True,187,e1ec26fefd59297b2a7c5de375fb4bf054085a66de883dc45c467e95facbe0d1,77f122bcbe33f0c97315272639cb0e00d064f6b2a1f03a58d9e3f4e0e2206000,2553d12de32d3c827deb377c794241a8d997146dabc439b29ce5eb7a68ffacbf,99,4.95,,,contact_without_grasp,False,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_000_attempt_023.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_000_attempt_023.xml,ebb6df794e5e81599939e247afa53aafe47cf100131fbd827f266b9f106f69a7,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
2,demo_27,numeric_demo_index_ascending_within_layout,24,formal_candidate,True,185,2b01a64d29b3ca20a8073c9893f44cb0e2e968a26fcb68321c3e97310fb242d8,71195ca301a892834ad63cf5feb2837b6798f68781df0ba2e2c17b18f244c43f,bd0770d8222453f586f5563b39bed0171450ab1bb83527d4e883c3298403ad4c,97,4.85,154,7.7,success,True,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_027_attempt_024.npz,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_027_attempt_024.xml,7e9607c5e5281cece1e92cc92bf78adf80076259f1d65b77f8b9e43d27e726d3,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,True
